Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274
KNN,0.9122807017543859,0.9428571428571428,0.9166666666666666,0.9295774647887324
SVM (RBF),0.9298245614035088,0.9210526315789473,0.9722222222222222,0.9459459459459459
Decision Tree,0.9122807017543859,0.9428571428571428,0.9166666666666666,0.9295774647887324
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
Gradient Boosting,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231
AdaBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231
XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231
